sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857144	24	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857145	23	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857146	22	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857147	21	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857148	20	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857149	2	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857150	19	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857151	3	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857152	18	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857153	17	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857154	16	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857155	15	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857156	14	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857157	13	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857158	12	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857159	11	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857160	10	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857161	1	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857162	29	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857163	9	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857164	8	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857165	7	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857166	6	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
